Text,Type
Fresh Fruit,2
Bagel,2
Fruit,2
Soft Tofu Soup,4
Noodle Soups,4
Rice Noodle Soup,4
Bamee Wonton,4
Chicory Salad ,3
Golden Beets,3
Cajeta Ice Cream,6
Mussels di Napeli,5
Captese Flatbread,5
Grilled Chiken Flatbread,5
Bruschetta,5
Ultimate Feast,5
Mixed Grill,5
Fresh Atlantic,5
Admirals Feast,5
Bar Harbor Lobster Bake,5
Seaside Shrimp Trio,5
Parrot Isle Jumbo,5
Garlic Shrimp,5
Coconut Shrimp,5
WoodGrilled Tilapia,5
Shrimp Linguini,5
Sea Scallops,5
SoyGinger Salmon,5
Sirloin,5
Walts Favorite,5
WoodGrilled,5
Yucatan Tilapia and Shrimp,5
Dragon Shrimp,5
SouthwestStyle Tacos,5
Salmon New Orleans,5
Grilled Shrimp,5
Grilled Chicken,5
Grilled Tilapia,5
Lobster Meat,5
WildCaught Snow Crab Legs,5
Shrimp Linguini Alfredo,5
Parrot Isle Jumbo Coconut,5
Shrimp,5
Crab Linguini Alfredo,5
Signature Creamy Lobster,5
WoodGrilled Shrimp,5
Rock Lobster Tail,5
Walts Favorite Shrimp,5
Live Maine Lobster,5
Lobster and Langostino Pizza,5
SeafoodStuffed Mushrooms,2
Langostino LobsterArtichoke,2
Signature Jumbo Shrimp,2
PeppercornPanko Calamari,2
Seaside Sampler,2
Parrot Isle Jumbo Coconut Shrimp,2
Sweet Chili Shrimp,2
Create Your Own Appetizer,2
Mozzarella Cheesesticks,2
Chicken Breast Strips,2
Clam Strips,2
RoastedGarlic Mussels,2
New England Clam Chowder,4
Classic Caesar Salad,4
Lobster Bisque,4
Creamy Potato Bacon,4
WoodGrilled Fresh Salmon,5
WoodGrilled Chicken,5
Enchiladas Suizas,5
Huevos Rancheros,5
Mexican Omelette S,5
Red Menudo  cup SO bowl,5
Vegetarian Omelette SL,5
Chilaquiles   S no protein SL,5
Huevos Divorciados I,5
Breakfast Burrito,5
Chorizo con Huevo,5
Tres Leches Pancakes SO,5
Chile verde  Eggs,5
Machaca  Eggs S,5
Draft Beer ,1
Micheladas,1
Mexican Coffee,1
Carne Asada Breakfats,5
Porkchops,5
Eggs SL,5
Salad,3
Mexican Cobb Salad,3
Chicken Tortilla Soup  cup,4
Green Chicken Pozole  cup SO bowl,4
Ensalada de la Casa,3
Albondiga,4
Red Menudo S cup SIO bowl,4
Blackened Sea Bass Salad,3
Mahi Mahi Burrito,5
Shrimp Enchiladas,5
Camarones al Mojo de Ajo,5
Signature Fish Taco Platter,5
Ahi Tacos,5
Blackened Salmon Filet,5
Enchiladas Espanolas,5
Enchiladas SI,5
Signature Mole Enchiladas,5
Classic Combination,5
Chile Relleno,5
Grilled Chicken Diablo,5
Chilaquiles,5
Taquitos,5
Chipotle Chicken Avocado Torta,5
Tacos de Frank,5
South of the Border Burrito,5
Carne Asada Torta with Mushrooms,5
Three Chimichangas i,5
Three Flautas,5
Grilled Shrimp Fajita Burrito,5
Steak Tampiqueno  Blackened Rib Eye,5
Carnitas S,5
Original Carne Asada,5
Chile Colorado S,5
Chile Verde,5
Fajitas la Especial,5
Chicken and Steak Fajitas,5
Fajitas,5
Traditional Flan,6
Churros y Chocolate,6
Flan de Pastel,6
Bunuelos,6
Fried Ice Cream,6
Two Tacos,5
Chicken Fingers,5
Soft Drinks,1
Iced Tea,1
Fresh made Agua Fresca,1
Coffee,1
Juice,1
Orange Juice,1
BLACKENED TILAPIA WONTONS,2
WILD TEXAS BAY SHRIMP TEMPURA,2
CRISPY FOLEY CALAMARI,2
COLD WATER OYSTERS ROCKEFELLER,2
COLOSSAL SHRIMP COCKTAIL,2
VPN PIZZA NAPOLETANA,2
ARTISANAL CHEESE BOARD,2
MARGHRITA,5
POLENTA FRIES,2
RUSTIC TOMATO BRUSCHETTA,2
PISTACHOEFONTNA,2
LOBSTER AND SHRIMP FRITTERS,2
SALSICCIA,2
CHARCOAL GRILLED BABY OCTOPUS,2
NAPOLISALAME SALSICCIA,2
FRIED CHICKEN SPRING ROLLS,2
SHRIMP AND LOBSTER BISQUE,4
CARAMEL BUDNO,6
Chocolate Cookie Crumbles,6
KEY LIPEWITH GRAHAMCRACKER CRUST,6
FRESH MANILA CLAM CHOWDER,4
CAESAR DINNER SALAD,3
BITTERSWEET CHOCOLATE FLOURLESS CAKE,6
CARMEN STOKES,5
ORGANIC MESCLUN GREENS,4
CROISSANT BREAD PUDDING,6
MINI WEDGE SALAD,3
WARM APPLE TART,6
VERMONT MAPLE SUGAR COTTON CANDY,6
SOUTH BEACH FAROE ISLAND SALMON SALAD,3
BEEF SHORT RIB TACOS,5
REGAL SPRINGS TILAPIA,5
ALSATIAN GRILLED CHICKEN BREAST SALAD,3
ATLANTIC COD,5
LAKE SUPERIOR WHTEFISH,5
PARKERS PAELLA,5
FAROE ISLAND ORGANIC SALMON,5
CAESAR SALAD,3
IDAHO SPRINGS RAINBOW TROUT,5
WILD ALASKAN HALIBUT,5
JUMBO LUMP CRAB CAKES,5
BONELESS BEFFSHORT RB,5
LOBSTER MAC AND CHEESE,5
CHARCOAL GRILLED CENTER CUT PORK CHOP,5
PREMUMLOCALANGUS BLACKAND BLUEBURGER,5
Sweet Potato Fries,2
LOBSTER GNOCCH,5
MAPLELEAFFARMSDUCKBREAST ANDCONFIT LEG,5
SMOKED TURKEY AND APPLEWOOD BACON CLUB,5
PAN ROASTED GULF OF MAINE SEA SCALLOPS,5
WDMUSHOOM TRUFFIEANDPEA SHOOTSRISOTTO,5
ALASKAN RED KIG CRAB LEGS,5
HIGHLAND VEGETARIAN BURGER,5
CHARCOAL GRILLED LOCAL ANGUS FILET MGNON,5
NEW ENGLAND LOBSTER ROLL,5
PARKERS PREMUMLOCAL ANGUS STEAKBURGER,5
SURF AND TURF,5
BOUILLABAISSE,5
SPICY BUFFALO TLAPIA WRAP,5
CHARCOAL GRILED USDA PRINEW YORK STRIP,5
LOCAL ANGUS BLACK AND BLEU BURGER,5
CRISPY CRABCAKE,5
TABLE BREAD,2
IVY CALSAR g,3
LOCAL GREEN,3
BAKED CLAMS,3
MEATRBALLS,5
FARRO vg g,5
CALAMARI,2
BEET  g g,3
PROSCIUTTO SHRIMP,2
SHRIMP COCKTAIL,2
IVY MAC AND CHEESE,5
BURNT BROCCOLINL,5
CRISPY BRUSSELS,5
MARGHERITA,5
GARLIC MASH,5
MEATBALL,5
RIGATONI AN HOUSE SAUCE,5
ROSEMARY FRIES,2
FIG  PROSCIUTTO,5
TRUFFLE AND HOT PEPPER  g,5
CHICKEN,5
SHRIMP GRILLED,5
SALMON PANSEARED,5
SKIRT STEAK GRILLED,5
IVY CHEESEBURGER,5
BARROTTA,5
VEGGIE BURGER,5
SHORTRIB MAC,5
TORTELLINI ALLA PANNA,5
IWY CALI CHICKEN,5
CREAMY TRUFFLE,5
ANGEL HARR PASTA,5
CHICKEN PARMESAN,5
CHICKEN MILANESE,5
CHICKEN SCARPARIELLO,5
SKIRT  g,5
FILET MIGNON,5
SHORT RIB RISOTTO,5
SALMON,5
THE IVY STRIP  gf,5
SCALLOPS,5
PORTERTIOUSE FOR TWO,5
CHEESY MACARONI BITES,2
GUAC  CHIPS,2
BUFFALO CHICKEN DIP,2
WARM PRETZEL BITES,2
PEPPERONI FLATBREAD,2
QUESO BLANCO  CHIPS,2
MARGHERITA FLATBREAD,2
CHEESE FRIES,2
HARVEST HUMMUS,2
TOPGOLF WINGS,2
BBQ BRISKET FLATBREAD,2
TRES TACOS,2
FARMHOUSE FLATBREAD,2
SIGNATURE NACHOS,2
criSpy CHICKEN STRIPS,5
FRIED CHICKEN SANDWICH,5
COBB SALAD,3
GRILLED CHICKEN SANDWICH,5
FRENCH FRIES,2
THE CLASSIC BURGER Beef or Veggie patty,5
TATER TOTS,2
THE SMOKEHOUSE BURGER,5
Turkey AVOCADO WRAP,5
INJECTABLE DONUT HOLES,6
CHICKEN BITES,2
BRISKET HASH SKILLET,5
DOUBLE TROUBLE COOKIE SKILLET,5
COOKIE CRUMBLE SUNDAE,6
JR CHEESEBURGER,5
Bacon  Onion Skillet,5
Meat Lovers Skillet,5
Popeyes Skillet,5
Ham  Mushroom Skillet,5
Mexican Skillet,5
Western Skillet,5
Skirt Steak Skillet,5
Veggie Skillet,5
Corned Beef Hash Skillet,5
Country Skillet,5
The Original Benedict,5
Idaho Potato Benedict,5
Country Benedict,5
Benedict Florentine,5
CHEESEBURGER LUNCH,5
CHILI Irs Genuine,5
CHILI,5
MAC,5
STEAKBURGER LUNCH,5
MAC THREE WAYS,5
BOSTON BAKED BEANS,5
LETTUCETOMATOBURGER LUNCH,5
LETTUCE AND TOMATO SALAD,3
CHEESEBURGER,5
ORANGE FREEZE,1
FRESK STRAWBERRY SUNDAE,6
SPECIAL CHOPPED HAM,5
CXOCOLATE FUDGE SUNDAE,6
FRESH MADE ICE CREAM,6
SPECIAL HAM AND EGG,5
FRESH ORANGE DRINK,1
COLA,1
STEAKBURGER,5
FRESH CHURNED BUTTERMILK,1
TOASTED CHEESE,5
ROOT BEER,1
EGG SANDWICH,5
COFFEE OR TEA,1
MILK ,1
Shrimp Key West,5
Dragonfire Chicken,5
Zen Chicken Pot Stickers,5
Tuscan Spinach Dip,2
Fried Mozzarella,2
Sprite,1
Crispy Green Bean Fries,2
ITALIAN BEEF,5
ITALIAN SAUSAGE SANDWiCH,5
ITALIAN BEEF  SAUSAGE SANDWiCH,5
BEEFNCHEDDAR CROISSANT,5
PORTILLOS BEEF HOT DOG,5
NEW PLANTBASED GARDEN DOG,5
CHILI CHEESE DOG Reg,5
MAXWELL STREET POLISH  Cal,5
HAMBURGER Single,5
CHEESEBURGER  Single,5
BACON BURGER Single,5
BACON CHEESEBURGER Single,5
BROILED CHICKEN SANDWICH,5
BREADED CHICKEN SANDWICH  Cal,5
Spicy CHICKEN SANDWICH,5
CHICKEN TENDERS,2
BREADED WHITEFISH SANDWICH  Cal,5
CHOPPED SALAD,3
CLASSIC CAESAR SALAD  Cal,3
GREEK SALAD WITh CHICKEN  Cal,3
CLASSIC BOWL  Cal,5
CHICAGO COMBO BOWL  Cal,5
FULL SLAB A LA CARTE  Cal,5
SLAB A LA CARTE  Cal,5
Fresh Cut Fries,2
S  Angus Burger,5
Nacho Cheese Fries,2
Texas Ranch Burger,5
Bacon Cheese Fries,2
Chili Cheese Fries,2
Crispy Onion Rings,2
Mac N Cheese Bites,2
Cajun Sunrise Burger,5
Crispy Green Beans,2
Hearty Chili,2
Hawaiian Burger,5
Californian Burger,5
Patty Melt,5
Impossible Burger,5
Spinach Salad,3
Wedge Salad,3
New England Hot Dog,5
Chili Cheese Hot Dog,5
Southern Chicken,5
BLT,5
Jr Burger,5
ALT,5
Jr Hot Dog,5
Jr Chicken Tenders,5
Veggie Melt,5
Grilled Cheese,5
Bacon Egg  Cheese,5
Double Meathead,5
Fountain Drink,1
Triple Meathead,5
Grilled or Crispy Chicken,5
Apple Juice,1
All Natural Turkey,5
Organic Milk,1
Bottled Water,1
Creamy Shakes,6
Premium Shakes,6
Gourmet Cookie,6
Dagwood Club,5
Falafel,5
Hummus,5
Chicken Caecar,5
Babaganoush,5
Chicken Crave,5
Feta,5
Chicken Breast,5
SwissAmerican,5
Philly Steak,5
Cheddar,5
Club,5
Carden,5
Black Forest Ham,5
Assorted,5
Roast Beef,5
Cyros,5
Souvlaki,5
Tuna,5
American Platter,2
Greek Platter,2
Deli Platter,2
Add Chips and a Cookie,0
Veggie Platter,2
Add a Drink,0
Add Fruit,0
Super Combo Platter,2
Cappuccino,1
Green Tea,1
Freshly Squeezed Orange Juice,1
Strawberry Smoothie,1
Mojito,1
Chai Latte,1
Raspberry Lemonade,1
Iced Coffee,1
Mango Lassi,1
Bloody Mary,1
Espresso,1
Blueberry Shake,1
Mint Iced Tea,1
Hot Chocolate,1
Pina Colada,1
Americano,1
Passion Fruit Cooler,1
Ginger Ale,1
Turmeric Latte,1
Watermelon Juice,1
Iced Green Tea,1
Cherry Soda,1
Peach Smoothie,1
Lemonade,1
Margarita,1
Mint Julep,1
Green Smoothie,1
Chamomile Tea,1
Cosmopolitan,1
Sangria,1
Milkshake,1
Martini,1
Whiskey Sour,1
Lemon Drop,1
Mai Tai,1
Tequila Sunrise,1
White Russian,1
Black Tea,1
Blue Lagoon,1
Mimosa,1
Bellini,1
Old Fashioned,1
Gin and Tonic,1
Cuba Libre,1
Soda Water,1
Spinach and Artichoke Dip,2
Stuffed Mushrooms,2
Chicken Satay,2
Spring Rolls,2
Nachos with Guacamole,2
Caprese Skewers,2
Tempura Vegetables,2
Hummus and Pita Bread,2
Calamari Rings,2
Potato Skins,2
Deviled Eggs,2
Quesadilla,2
Duck Spring Rolls,2
Tuna Tartare,2
Baked Brie,2
Edamame,2
Crab Cakes,2
Vegetable Samosas,2
Spinach Dip,2
